question,remembering_complexity,creation_complexity,evaluation_complexity,analysis_complexity,synthesis_complexity,applying_complexity,hypothesis_complexity
The health domain is about staying healthy. What do you do to keep healthy?,2,2,3,2,1,2,1
Finance is about money and coins. Do people save their money in banks?,2,1,2,2,1,2,2
Relationships are about how people connect with each other. Do you like making friends?,2,1,2,2,1,2,1
Events are things that happen like parties or concerts. Do people go to many events?,2,1,2,2,1,2,2
Leisure is about having fun and relaxing. What is your favorite thing to do for fun?,2,1,2,2,1,1,1
Business is about selling things. How do people start a new business?,3,4,3,4,3,4,3
Technology is about making tools and machines. How do computers help us every day?,3,2,3,3,2,3,2
Healthcare helps sick people feel better. How do doctors find out what's wrong with someone?,3,2,2,3,2,3,3
Education helps us learn new things. How do kids learn best in school?,3,4,5,5,4,4,5
The environment is about the nature around us. Why is taking care of the environment important?,2,2,3,3,2,2,2
Safety is about keeping things from getting hurt. Why is safety important?,2,1,2,2,1,2,2
Culture is about the way people live and what they believe. What kind of cultures are there?,3,2,2,3,2,2,2
Sports is about playing games and having fun. Do you like to watch or play sports?,2,1,2,2,1,1,1
Entertainment is fun. What is your favorite movie?,2,1,2,1,1,1,1
Politics is about how people make rules. Why do people have to follow rules?,3,4,5,5,3,4,4
Travel is about going to different places. Why do people like to travel?,2,3,4,4,3,3,4
The food domain is about eating and cooking. What is your favorite food?,2,1,2,2,1,1,1
Fashion is about clothes and style. Do you like wearing cool outfits?,2,1,2,2,1,1,1
Art domain is about making and looking at things like paintings and sculptures. Why do people like art?,3,4,5,5,4,3,4
Science is how people learn about things. How do scientists find out new stuff?,2,2,2,3,2,2,2
Health is about keeping our bodies strong. What do we do to stay healthy?,2,1,2,2,1,2,1
Finance is about money and saving. How do banks help people?,2,2,2,3,2,2,1
Relationships are about how people connect with each other. Do you want to know how friends become close?,2,2,3,3,2,2,2
Events are happenings that people do or watch. What is your favorite kind of event to go to?,2,1,3,2,1,2,2
Leisure is спasos like fun and relax. Do you like playing games or watching movies?,2,1,2,2,1,1,1
Business is about selling and buying things. What is the company's main thing they sell?,2,1,2,2,1,2,1
Technology is about really cool gadgets and computers. How do computers work?,3,2,2,3,2,2,2
Healthcare is about keeping people healthy. Do hospitals help sick people?,2,1,3,3,1,2,2
Education is about learning things. How do people learn in school?,3,2,3,4,3,3,3
Environment is about nature and earth. What kind of trees or animals are you interested in?,2,1,1,2,1,1,1
Safety is about avoiding accidents. How do you stay safe when crossing the street?,2,1,2,2,1,3,1
Culture is about how people do things and what they like. What are some things that different cultures do?,3,2,2,3,2,2,2
Sports is fun! Do you like to watch or play sports?,2,1,2,2,1,1,1
Entertainment is fun. What is your favorite thing to watch or do for fun?,2,1,2,2,1,1,1
Politics is about how people decide rules. How do elections help choose leaders?,3,2,3,4,2,3,2
Travel is when people go from one place to another. How do you decide where to go for your trip?,2,3,4,3,2,3,3
Food is something people eat to stay healthy. What is your favorite food?,2,1,1,2,1,1,1
Fashion is about how people dress. Do you like to wear colorful clothes?,2,1,2,2,1,1,1
Art is about making beautiful or interesting things. Why do people draw or paint pictures?,2,3,4,5,3,3,4
Science is about understanding how things work. How do scientists learn about the world?,3,2,2,3,2,3,2
Health is about staying well and feeling good. How do people stay healthy?,2,2,3,3,2,3,2
Finance is about managing money. How do people save their money?,3,2,2,3,2,3,2
The relationships domain is about how people connect. Do you think friendships are important?,2,3,5,4,3,3,4
Events are things that happen. What is an event you had recently?,2,1,1,2,1,1,1
Leisure means fun time. What's your favorite way to relax?,2,1,2,2,1,2,1
The business domain is about making and selling things. What do people usually buy and sell?,3,2,2,3,2,3,2
"Technology is about tools helps us do things.  
How do computers help us every day?",3,2,2,3,2,3,2
Healthcare helps people stay healthy. How do doctors know what's wrong with someone?,3,2,3,4,3,3,3
The education domain is about teaching and learning. Do you like going to school?,2,1,2,2,1,1,1
The environment is about the world around us. Why is it important to take care of the environment?,2,2,3,3,2,2,2
Safety is about keeping people safe. How do people stay safe?,2,3,3,3,2,3,2
Culture is about the ways of life of a group of people. What kind of traditions do different cultures have?,3,2,3,4,3,3,2
Sports is about playing games like soccer and basketball. Do you like playing or watching sports?,2,1,2,2,1,1,1
Entertainment is stuff like movies and music. Do you like watching cartoons?,2,1,2,2,1,1,1
Politics is about how people make decisions in a group. Why are voting and leaders so important?,3,2,4,5,3,3,3
Travel is going from one place to another. How do people decide where to go?,2,3,4,5,3,3,4
Food is something we eat. What is your favorite food?,2,1,1,1,1,1,1
Fashion is about how people dress. Do you like colorful clothes?,2,1,2,2,1,1,1
Art is pictures and paintings. How do people make art?,2,3,2,3,2,2,2
Science is about learning how things work. How do scientists test their ideas?,3,2,3,3,2,3,3
Health is about feeling good and being strong. What makes you feel happy and healthy?,2,2,3,3,2,3,2
Finance is about money and how people use it. How do people save their money?,3,2,3,4,2,3,2
Relationships are about how people connect with each other. Do friends or family count as relationships?,2,2,3,3,2,2,2
"Events are things that happen, like parties or festivals. Do you like stories about fun parties?",2,1,2,2,1,2,1
Leisure is relaxing and having fun. What do you like to do for fun?,2,1,2,2,1,2,1
Business is about selling things. How do people decide what to sell?,3,5,4,5,4,4,5
Technology is about making new tools. Do all computers use technology?,2,3,3,4,3,3,4
Healthcare is about helping people stay healthy. How do doctors fix boo-boos?,2,1,1,2,1,2,1
Education is about learning new things. What is your favorite thing to learn about?,2,1,2,2,1,1,1
The environment is everything around us. What is the environment made of?,2,1,1,2,1,1,1
"Safety is about keeping people from getting hurt.  
Why do we need safety in places like homes and schools?",2,2,3,3,2,3,2
Culture is about the way people live and their traditions. Do people have different ways of celebrating their holidays?,2,2,3,4,2,3,3
Sports is about playing games with teams. Do people like soccer or basketball more?,2,1,3,3,1,2,2
Entertainment is fun. Do you like cartoons or movies more?,2,1,2,2,1,1,1
Politics is about how leaders and governments make rules. Who are the main leaders in politics?,3,2,2,3,2,2,1
"Travel is going to new places. When you travel, do you like to visit the beach or the mountains?",2,1,2,2,1,1,1
The food domain is about eating and cooking someday. Do you like your favorite food?,2,1,2,2,1,1,1
Fashion is about what people wear. Do you like dressing up?,2,1,2,2,1,1,1
Art is about making pretty or interesting pictures. How do people decide what's the best picture?,2,4,7,5,3,4,5
Science is about learning how everything works. How do animals breathe?,3,2,2,3,2,3,2
Health is about feeling good and not getting sick. Why is it important to eat healthy?,3,2,3,3,2,3,2
Finance is about managing money. How do people save money?,3,2,3,4,2,3,2
Relationships are about how people connect. Do you want to know how friends help each other?,2,2,3,3,2,2,2
Events are things that happen. Do you like going to events like parties or concerts?,2,1,2,2,1,1,1
Leisure is fun time for relaxing. Do you like playing games?,2,1,2,2,1,2,1
Business is about selling things. Do people buy stuff at business places?,2,1,2,2,1,2,1
Technology is about tools and gadgets. How do computers help us every day?,3,2,3,4,2,3,2
Healthcare is about keeping people healthy. How do doctors help sick people feel better?,2,2,2,3,2,3,2
Education is about learning new things. How do students learn best?,3,5,6,6,5,4,5
The environment is everything around us. Why is keeping the earth clean important?,2,2,3,3,2,2,2
The safety domain is about keeping people safe. Why is it important to wear a helmet?,3,2,4,3,2,3,2
Culture is about how people live and what they believe. Do you want to know about a specific culture?,2,1,2,2,1,2,1
Sports is about playing games like soccer and basketball. Do you like playing sports?,2,1,2,2,1,1,1
Entertainment is fun. What is your favorite movie?,2,1,2,1,1,1,1
Politics is about how governments make decisions. Why do people vote in elections?,3,4,5,5,4,4,5
Travel is when people go to places away from their home. Where do most people like to travel?,2,1,2,2,1,2,2
Food is something we eat. Do you like to eat apples?,2,1,2,2,1,1,1
Fashion is about how people dress. What is a popular clothing item right now?,3,1,2,2,1,2,1
Art is like drawing and making pictures. Do you like to draw?,2,1,2,2,1,1,1
Science is about understanding how things work. Why do we do experiments in science?,3,2,3,3,2,3,3
Keeping hydrated is important for overall health. Do you drink enough water daily?,2,1,2,2,1,2,1
"Finance involves managing money, investments, and financial planning. How do people decide between saving and investing their money?",3,4,6,5,4,5,5
Relationships can be really complex but also very rewarding when trust is established. Have you ever wondered what makes a relationship last through difficult times?,2,3,5,5,3,4,4
Events often bring people together to celebrate or discuss important topics. What types of events do you find most engaging?,2,3,4,3,2,3,3
"Leisure involves activities people enjoy in their free time, like hobbies, sports, or entertainment. What are some of your favorite ways to relax and unwind?",2,2,3,3,2,3,2
The business domain encompasses various industries and sectors that manage resources to produce goods and services. How do businesses adapt to market changes so quickly?,3,5,6,6,5,6,6
"Technology evolves rapidly, affecting nearly every aspect of daily life. Do you think new technological advancements will be more beneficial or problematic for society?",3,6,8,7,6,5,7
Healthcare technology is rapidly advancing with innovations like telemedicine and wearable devices. How do you think these technologies will impact patient care in the future?,3,5,6,6,5,5,7
Education helps shape our understanding of the world. How can technology further improve access to quality education globally?,3,7,6,6,7,6,7
"The environment domain includes issues like pollution, climate change, and conservation efforts. How can recycling help reduce environmental impact?",3,4,5,5,4,5,4
Safety is all about preventing accidents and injuries in different environments. How do organizations ensure their workplaces remain safe for all employees?,3,4,5,5,4,5,3
Culture shapes our identities and influences how we perceive the world. Have you ever appreciated a cultural tradition different from your own?,3,4,5,5,4,4,3
Sports are a great way to stay active and build teamwork skills. Do you have a favorite sport you enjoy watching or playing?,2,2,3,2,1,2,1
"Entertainment keeps people guessing and laughing, whether it's movies, TV shows, or concerts. What kind of entertainment do you enjoy the most?",2,2,3,2,1,2,1
Politics often shapes how communities are organized and how power is distributed. Have you ever wondered how different political systems affect daily life?,3,4,5,6,4,5,5
Travel is a way to explore new places and experience different cultures. Have you ever been on a trip that changed your perspective?,2,2,3,3,2,2,3
Food brings people together and inspires creativity in the kitchen. Do you prefer dining out or cooking at home?,2,3,4,3,2,3,2
Fashion involves a constantly changing world of clothing and accessories inspired by culture and trends. Do you think sustainable fashion will become more popular in the future?,3,5,6,5,4,4,6
Art is a way people express their thoughts and emotions visually or tangibly. Have you ever tried creating your own artwork?,2,3,2,3,2,3,2
"Science is always pushing the boundaries of our understanding, revealing how and why our universe works. Do you think science will someday be able to explain consciousness?",3,7,8,6,7,5,8
Health is essential for living a fulfilling life. Do you think regular exercise really improves overall wellness?,3,4,6,5,4,3,5
"Finance involves managing money, investments, and financial planning. How do you choose the right investment strategy for long-term wealth?",3,6,7,6,5,6,5
Relationships can be complex and deeply rewarding. How do you think communication impacts the strength of a relationship?,3,4,6,5,4,4,5
"Events are often organized to bring people together for various purposes like celebrations, conferences, or community activities. Have you ever attended a memorable event recently?",2,2,3,3,2,2,2
Leisure activities are a great way to relax and recharge after a busy week. What are some of your favorite ways to unwind and enjoy your free time?,2,2,3,3,2,2,2
"Business domains include various sectors like technology, healthcare, and retail, each with unique challenges and opportunities. What specific aspect of the business domain are you interested in learning more about?",3,2,3,3,2,3,2
Technology is always evolving and shaping how we live and work. How do new tech innovations impact our daily routines?,3,5,6,6,5,4,5
Healthcare is all about keeping people healthy and providing medical care when they're not—it's like a big support system for everyone. How do you think advancements in technology are changing patient care?,3,5,6,5,4,5,6
Education shapes our futures and helps us grow intellectually. How can we make access to quality education more equitable worldwide?,4,8,7,7,8,6,7
"The environment domain includes topics like pollution, conservation, and climate change. How can we encourage more sustainable habits in our daily lives?",3,6,5,5,6,6,5
Safety is all about preventing accidents and protecting people in different environments. Have you ever wondered how safety protocols are developed for high-risk workplaces?,3,4,3,4,3,3,3
"Culture is like this huge tapestry of different traditions, art, and beliefs that make each community unique. Do you think that regardless of where we come from, we all share some common cultural ground?",3,4,6,5,5,3,6
Sports are a great way to stay active and connect with others. Have you tried any new sports recently?,2,1,2,2,1,2,1
Entertainment helps people relax and escape from daily stress. What is your favorite form of entertainment?,2,2,3,3,2,2,2
Politics involves the process of making collective decisions that apply to members of a group or country. How do political systems influence everyday life?,4,5,6,7,5,6,5
Travel is all about exploring new places and experiencing different cultures. What’s your favorite destination you’ve visited so far?,2,1,3,2,1,2,1
"Food is essential for survival and well-being, and it comes in a vast array of flavors and forms. What's your favorite type of cuisine?",2,1,2,2,1,1,1
Fashion is always changing with new designs and trends every season. Do you think sustainable fashion will become the new standard in the industry?,3,6,7,5,5,4,7
Art is a form of creative expression that captures human imagination and emotion. What inspires you most when looking at a piece of art?,2,4,5,4,3,3,3
Science is all about exploring the world through observation and experimentation. Do you think scientific discoveries are always beneficial to society?,3,5,7,6,4,4,6
Good health is essential for a fulfilling life. What are some simple daily habits that can improve overall wellness?,3,4,3,4,3,4,3
"Finance involves managing money, investments, and other financial instruments. How do people decide whether to invest in stocks or bonds?",3,4,6,5,4,5,4
Relationships can be both challenging and rewarding. How do you effectively communicate your feelings to your partner?,3,5,6,5,4,6,4
